variety,site,county,trial_type,weather_station,emergence_date,year,EMD_DOY,PI_DAP,PI_DOY,FL_DAE,FL_DOY,R7_DAE,R7_DOY,yield_kg_ha
M206,larribee,Butte,Early,12,5/28/2012,2012,149,51,200,80,229,103,252,10751
M206,larribee,Butte,Early,12,5/7/2013,2013,127,56,183,82,209,109,236,10035
M206,Canal,Colusa/Canal Ranch,Early,32,5/29/2012,2012,150,48,198,86,236,104,254,10224
M206,Canal,Colusa/Canal Ranch,Early,32,5/14/2013,2013,134,52,186,86,220,106,240,10001
M206,Wylie,Glenn/Wylie Ranch,Int late,32,5/8/2012,2012,129,54,183,83,212,105,234,9205
M206,Wylie,Glenn/Wylie Ranch,Int late,32,4/29/2013,2013,119,53,172,82,201,106,225,9413
M206,RES,RES 1,Early,12,5/22/2012,2012,143,51,194,82,225,104,247,11932
M206,RES,RES 1,Early,12,5/2/2013,2013,122,54,176,83,205,102,224,10516
M206,RES,RES 2,Early,12,5/23/2013,2013,143,49,192,81,224,99,242,10248
M206,Lauppe,Sutter/Lauppe Ranch,Very Early,32,5/24/2012,2012,145,49,194,86,231,98,243,10017
M206,Lauppe,Sutter/Lauppe Ranch,Very Early,32,5/18/2013,2013,138,47,185,85,223,103,241,11035
M206,Tucker2,Sutter/Scott Tucker,Int late,32,5/17/2012,2012,138,53,191,86,224,105,243,10791
M206,Tucker2,Sutter/Scott Tucker,Int late,32,5/4/2013,2013,124,54,178,85,209,104,228,9564
M206,erdman,Yolo,Very Early,32,5/14/2012,2012,135,56,191,92,227,108,243,10426
M206,erdman,Yolo,Very Early,32,5/9/2013,2013,129,53,182,80,209,99,228,10734
M206,Marler,Yuba,Early,32,5/22/2012,2012,143,49,192,87,230,106,249,9895
M206,Matthews,Yuba,Early,32,5/9/2013,2013,129,50,179,87,216,106,235,10805
